weight fraction [w/w],purity [w/w],pure density [g/mL],solvent pure density [g/mL],solvent purity [w/w],density [g/mL],peak area [a.u.]
0.014,0.99073,0.751,0.684,0.995,0.009539511,32500000
0.014,0.99073,0.751,0.684,0.995,0.009539511,32800000
0.051,0.99073,0.751,0.684,0.995,0.034861217,113000000
0.051,0.99073,0.751,0.684,0.995,0.034861217,114000000
0.102,0.99073,0.751,0.684,0.995,0.07002837,225000000
0.102,0.99073,0.751,0.684,0.995,0.07002837,228000000
0.254,0.99073,0.751,0.684,0.995,0.176695136,584000000
0.254,0.99073,0.751,0.684,0.995,0.176695136,578000000
0.254,0.99073,0.751,0.684,0.995,0.176695136,578000000
0.493,0.99073,0.751,0.684,0.995,0.350253192,1170000000
0.493,0.99073,0.751,0.684,0.995,0.350253192,1160000000
0.493,0.99073,0.751,0.684,0.995,0.350253192,1160000000
0.646,0.99073,0.751,0.684,0.995,0.465290637,1560000000
0.646,0.99073,0.751,0.684,0.995,0.465290637,1460000000
0.646,0.99073,0.751,0.684,0.995,0.465290637,1560000000
