pi,Ti,m_co2i,m_polyi,m_c5i,pf,Tf,m_co2f,m_polyf,m_c5f,duration [min]
380.0,41.0,64.32065488107978,83.989,79.11517149999999,340.0,38.0,63.885372128039705,81.40233295012874,76.96699547503881,1049.0
785.0,36.0,181.82512423013333,81.40233295012874,76.96699547503881,745.0,41.0,179.574723821063,77.59538574605568,74.11820748566161,391.0
900.0,40.0,238.04001441152585,77.59538574605568,74.11820748566161,875.0,40.0,237.00289342039653,76.07088671228303,73.09151045549021,1009.0
990.0,37.0,307.5283159658484,76.07088671228303,73.09151045549021,975.0,37.0,304.023606680304,70.57957331734802,70.91983313847365,355.0
1040.0,35.0,384.4619729498212,70.57957331734802,70.91983313847365,1030.0,36.0,382.06405542504046,68.42977822757241,69.81376866132597,3974.0
1100.0,36.0,486.10326308950175,68.42977822757241,69.81376866132597,1085.0,36.0,484.4948688073103,66.80343814208226,69.20340101086605,269.0
970.0,31.0,484.4948688073103,66.80343814208226,69.20340101086605,970.0,31.0,482.0550359247342,64.43982760492435,68.26590243124771,6.0
930.0,32.0,482.0550359247342,64.06528026353828,112.79289048728566,900.0,30.0,480.49871000970603,62.729404005099425,111.93207128146867,246.0
880.0,33.0,480.49871000970603,62.729404005099425,134.290715914802,810.0,31.0,479.112255267073,61.58302172536786,133.1619457876272,947.0
980.0,27.0,645.7795061897446,61.58302172536786,133.1619457876272,855.0,21.0,644.9227415208816,61.017759878295664,132.7039914528052,219.0
895.0,21.0,741.4936798620541,61.017759878295664,132.7039914528052,740.0,38.0,739.2355846081698,59.184879183425906,131.21600367658016,1209.0
1070.0,38.0,935.2501199628858,59.184879183425906,131.21600367658016,1070.0,42.0,933.5282301228415,57.81327440074186,130.53622951600212,263.0
880.0,42.0,933.5282301228415,57.81327440074186,130.53622951600212,870.0,43.0,932.8745218784412,57.17690967181102,129.91031002119252,993.0
15.0,22.0,932.8745218784412,57.17690967181102,129.91031002119252,15.0,22.0,932.822407017002,56.33688894812901,129.0763100732334,170.0
